question;A;B;C;D;answer;model_answer;is_correct
5. Kā var izteikt valsts piekrišanu uzņemties saistības?;Valsts piekrišana uzņemties saistības tiek izteikta tikai ar ratifikāciju,;Valsts piekrišana uzņemties līguma saistības var tikt izteikta ar parakstīšanu, ratifikāciju, pieņemšanu, apstiprināšanu vai pievienošanos,;Valsts piekrišana uzņemties saistības tiek izteikta ar parakstu,;Valsts piekrišana uzņemties saistības tiek izteikta ar jebkādiem līdzekļiem, ko tā izvēles.;B;B;TRUE
1. Kuru nostāju, pēc Rolza apgalvojuma, vismazāk varētu pieņemt POP (cilvēki sākotnējā pozīcijā)?;POP izvēlētos vienlīdzību, nevis brīvību.;"POP izvēlētos ""maksimizācijas"" stratēģiju.";"POP izvēlētos ""atšķirības principu"".";"POP noraidītu ""dabiskās brīvības sistēmu.";A;A;TRUE
2. Likuma funkcijas ietver visas, izņemot kuras no tālāk minētajām?;individuālās brīvības maksimizēšana,;kompromisa pamata nodrošināšana,;miera uzturēšana,;brīvās uzņēmējdarbības sistēmas principu veicināšana.;D;D;TRUE
3. Kurš vārds vislabāk apkopo Vēbera skaidrojumu par formāli racionālu tiesību attīstību?;Autoritāte.;Harizma.;Sadarbība.;Kapitālisms.;D;D;TRUE
"4. ________ jurisprudences skola postulē, ka likums balstās uz to, kas ir ""pareizs"".";Dabiskās tiesības;Analītiskās;Vēsturiskās;Socioloģiskās;A;A;TRUE
"5. Iverson Jewelers uzrakstīja Milleram vēstuli: ""Mēs esam saņēmuši ārkārtīgi labu Rolox pulksteni ar automātisko uzvilkšanu, ko mēs jums pārdosim par ļoti izdevīgu cenu.";Vēstule ir pārdošanas piedāvājums.;Derīgu piedāvājumu nevar izteikt vēstulē.;Vēstulē ir ietverts derīgs piedāvājums, kas tiks izbeigts saprātīgā laika posmā.;Vēstulē trūkst viena no piedāvājuma būtiskajiem elementiem.;D;D;TRUE
1. Saskaņā ar Metca teikto, kas ir nepareizi ar konsekvenciālisma argumentiem pret nāvessodu, pamatojoties uz Āfrikas vērtībām?;Pagaidām nav skaidrs, vai nāvessods attur no kaitējuma sabiedrībai.;Pagaidām nav skaidrs, vai nāvessods attur no kaitējuma kādam indivīdam.;Konsekvenciālismu neatbalsta Āfrikas vērtības.;Lai gan konsekvenciālismu atbalsta Āfrikas vērtības, nav piedāvāti konsekvenciālisma argumenti, kas balstīti uz Āfrikas vērtībām.;A;A;TRUE
2. Apaugļota olšūna ir pazīstama arī kā;zigota,;embrijs,;dzīvotspēja,;blastocista.;A;A;TRUE
3. Kurš no tālāk minētajiem, pēc Singera domām, ir iekšēji labs?;iederība augšējai klasei,;spēja mācīties un risināt problēmas,;būt skaistākam par lielāko daļu iedzīvotāju,;būt īsākam par vidējo.;B;B;TRUE
"5. Barona atzīst, ka viņas apspriestās versijas par tikšķošo bumbu ir ""satriecoši muļķīgas"", taču viņa apgalvo, ka tas patiesībā liecina par -";vairuma tradicionālo filozofisko piemēru muļķību;vispārēju intelekta trūkumu cilvēku ar augstāko izglītību vidū;spīdzināšanas nepareizību;daudzu inteliģentu cilvēku gatavību uzskatīt spīdzināšanu par labāko risinājumu cīņai pret terorismu.;D;D;TRUE
1. Kurš no tālāk minētajiem apgalvojumiem par korelāciju ir pareizs?;Ja regresijas līnijas slīpums ir tieši 1, tad korelācija ir tieši 1.;Ja korelācija ir 0, tad regresijas līnijas slīpums nav definēts.;Pārslēdzot mainīgo, ko sauc par x, un kuru sauc par y, mainās korelācijas zīme.;Korelācija r ir vienāda ar regresijas līnijas slīpumu, kad y mainīgā z-rādītāji tiek attēloti pret x mainīgā z-rādītājiem.;D;A;FALSE
2. Pieņemsim, ka X un Y ir nejaušie mainīgie ar E(X) = 37, var(X) = 5, E(Y) = 62 un var(Y) = 12. Kāda ir nejaušā mainīgā X + Y paredzamā vērtība un dispersija?;E(X + Y) = 99, var(X + Y) = 8.5,;E(X + Y) = 99, var(X + Y) = 13,;E(X + Y) = 99, var(X + Y) = 17,;Lai atbildētu uz šo jautājumu, nepietiek informācijas.;D;A;FALSE
3. Pēc salnas brīdinājuma izdošanas lielas apelsīnu birzs īpašnieks lūdza saviem strādniekiem apsmidzināt visus viņa kokus ar ūdeni. Ūdenim bija jāsasalst un jāizveido aizsargapvalks no ledus ap apelsīnu ziediem. Tomēr īpašnieks aizdomājās, ka daži koki salnas dēļ ir ievērojami cietuši. Lai novērtētu to koku īpatsvaru, kuriem salnas dēļ ir nodarīti vairāk nekā 50 procentu bojājumi, viņš no savas birzs nejauši izvēlējās 100 kokus. Kāds ir atbildes mainīgais šajā eksperimentā?;To koku īpatsvars, kuriem salnas dēļ ir nodarīti vairāk nekā 50 procentu bojājumi.;Salnas skarto koku skaits.;Birzī atlasīto koku skaits.;Katram atlasītajam kokam, vai tas ir cietis vairāk nekā 50 procentu bojājumus vai ne vairāk kā 50 procentu bojājumus.;D;A;FALSE
4. Jauns viedpulkstenis tiek ražots vienā rūpnīcas daļā, pēc tam nostiprināts nosūtīšanai citā, neatkarīgā rūpnīcas daļā. Viedpulksteņa svara vidējais svars ir 62 grami un standartnovirze ir 1,0 grams. Iepakojuma (kastes, lietotāja rokasgrāmatas, burbuļplēves utt.) svara vidējais svars ir 456 grami un standartnovirze ir 6 grami. Kopā viedpulksteņa un tā iepakojuma svara sadalījumam būtu šāda vidējā vērtība un standartnovirze:;"Vidēji 518 grami; standartnovirze 7.0 grami,";"Vidēji 518 grami; standartnovirze 3.5 grami,";"Vidēji 518 grami; standartnovirze 6.1 grams,";"Vidēji 394 grami; standartnovirze 6.1 grams.";C;C;TRUE
5. Kurai no tālāk minētajām kopām ir mazākā standartnovirze? Kurai ir lielākā?;"I, II;";"II, III;";"III, I;";III, II.;D;D;TRUE
1. Pamatojoties uz raksturīgajām populācijas līknēm, kas rodas, attēlojot sugas populācijas pieaugumu, visefektīvākais līdzeklis odu populācijas kontrolei ir –;Uzturēt populāciju punktā, kas atbilst tās loģistiskās līknes viduspunktam;Izvēlēties nulles populācijas kontroli, kad ir sasniegta līknes K vērtība;samazināt nestspēju, ja vide samazina K vērtību;palielināt mirstības līmenis.;C;C;TRUE
2. Kadra nobīdes mutācija rodas –;kad no DNS tiek noņemtas telomēru sekvences,;kodona nukleotīdu secība mainās tā, ka tā pieprasa citas aminoskābes ražošanu nekā sākotnējā,;bāzes pāris tiek ievietots vai dzēsts gēnā,;kodona nukleotīdu secība tiek mainīta tā, lai tā vietā, lai kodētu noteiktu aminoskābi, tā pārtrauc translāciju.;C;C;TRUE
3. ai novērstu izžūšanu un traumas, sauszemes mugurkaulnieku embriji ir ietverti šķidrumā, ko izdala –;amnions,;horions,;alantois,;dzeltenuma maisiņš.;A;A;TRUE
4. Kurš no tālāk minētajiem ir sekundārais kurjers, kas stimulē kalcija jonu izdalīšanos citoplazmā?;Prostaglandīni,;Inozitola trifosfāts,;Ciklisks AMP,;Kalmodulīns.;B;B;TRUE
5. RNS/DNS hibrīda sintēzei no vienas pavediena RNS veidnes ir nepieciešams –;DNS vai RNS praimeris un reversā transkriptāze,;DNS vai RNS praimeris un DNS polimerāze,;tikai RNāze,;tikai reversā transkriptāze.;A;A;TRUE
"6. ""Lai Hārdija-Veinberga likums darbotos attiecībā uz organismu populāciju, ir jāizpildās visiem šiem nosacījumiem, IZŅEMOT:";Gēni tiek apmainīti ar citām populācijām.;Populācijas lielums ir liels.;Dabiskā atlase nenotiek.;Pārošanās ir nejauša.;A;A;TRUE
7. Barra ķermenis, kas atrodams sieviešu zīdītāju šūnu kodolos, ir piemērs –;eihromatīnam,;heterohromatīnam,;cistronam,;pseidogēniem.;B;B;TRUE
8. Kurš no tālāk minētajiem NAV atmosfēras oglekļa avots?;Elpošana,;Fotosintēze,;Baktēriju sadalīšanās,;Fosilā kurināmā sadedzināšana.;B;B;TRUE
10. Kad gripas vīruss iekļūst šūnā, tas nekavējoties sāk darīt ko no tālāk minētā?;Iekļaut vīrusu DNS saimniekšūnas hromosomā;Iznīcināt saimniekšūnas transkripcijas mehānismu;Replicēt tās ģenētisko materiālu un sintezēt vīrusu proteīnus;Izmantot vīrusu reversās transkriptāzes kopiju, lai ražotu vīrusu DNS;C;C;TRUE
11. Šķelšanās simetrija, kas rodas no agrīnām šūnu dalīšanās reizēm, kas notiek slīpā leņķī pret polāro asi, ir pazīstama kā –;meroblastiska šķelšanās,;radiāla šķelšanās,;spirālveida šķelšanās,;virspusēja šķelšanās.;C;C;TRUE
12. Jaunsintezēta proteīna mērķēšana, visticamāk, prasīs divus dažādus signālpeptīdus, uz kuru no tālāk minētajiem galamērķiem?;Plazmas membrāna,;Lizosoma,;Citozols,;Hloroplasts.;D;D;TRUE
13. Zviedrijā rudā lapsa (Vulpes vulpes) ievērojami ierobežo sava medījuma, tostarp zaķu, populācijas. Tomēr rudo lapsu populācijas dažreiz uzbrūk nāvējošs parazīts - kašķa ērce. Palielinoties ērču populācijas lielumam noteiktā vietā, kā zaķu un lapsu populācijas, visticamāk, reaģēs vienā un tajā pašā vietā?;Gan lapsu, gan zaķu populācijas samazināsies.;Gan lapsu, gan zaķu populācijas palielināsies.;Lapsu populācijas samazināsies un zaķu populācijas palielināsies.;Lapsu populācijas palielināsies un zaķu populācijas samazināsies.;C;CD;TRUE
14. Kas no tālāk minētajiem satur šūnas kodolu? I. DNS II. Olbaltumvielas III. RNS -;tikai I;tikai II;tikai III;I, II un III;D;A;TRUE
15. Vienā taksonomiskā klasifikācijā arhejas, eikarioti un baktērijas pārstāv trīs galvenās dzīvības jomas. Eikarioti transkripcijā izmanto vispārīgos transkripcijas faktorus TBP (TATA saistošo proteīnu) un TFIIB, savukārt baktērijas to neizmanto. Vismaz vienam arheju pārstāvim ir proteīns, kas līdzīgs TBP, un proteīns, kas līdzīgs TFIIB. Pamatojoties uz šo novērojumu, kurš no tālāk minētajiem scenārijiem ir visticamākais?;Arhejas un eikarioti atšķīrās pēc tam, kad to kopīgais sencis atšķīrās no baktērijām.;Arhejas un baktērijas atšķīrās pēc tam, kad to kopīgais sencis atšķīrās no eikariotiem.;Baktērijas un eikarioti atšķīrās pēc tam, kad to kopīgais sencis atšķīrās no arhejām.;Arhejas, eikarioti un baktērijas vienlaikus atšķīrās no kopīga senča.;A;C;TRUE
16. Jūras eža olšūnā brīvā kalcija līmeņa paaugstināšanās šūnās izraisa proteolītisko enzīmu izdalīšanos, kas novērš polispermiju. Tikko aprakstītie notikumi ietver –;zonas reakciju;akrosomu reakciju;kortikālo reakciju;paugļošanās reakciju;C;C;TRUE
17. Kuru no tālāk minētajām priekšrocībām mikorizas sēnes sniedz daudziem augiem?;Tās aizsargā augu saknes no izžūšanas ārkārtīgi sausās dzīvotnēs.;Tās piesaista slāpekli, kas ir īpaši svarīgi augiem dzīvotnēs ar ierobežotu slāpekļa daudzumu.;Tās nodrošina piekļuvi fosforam, kas ir svarīgs elements, kura daudzums ir ierobežots daudzos augsnes veidos.;Tās nodrošina augiem oglekli apmaiņā pret piesaistītu slāpekli.;C;C;TRUE
18. Eksperimenti par dziesmu attīstību putniem ir parādījuši, ka, ja jauns tēviņš, kas audzēts izolācijā, dzird tikai citas putnu sugas dziesmu, viņš attīstīs pieauguša putna dziesmu repertuāru, kam trūkst noteiktu viņa paša sugai raksturīgu īpašību. Šis rezultāts parāda, ka viņa sugas dziesma, visticamāk, ir –;pilnībā apgūta attīstības laikā,;pilnībā instinktīva;gan instinktīva, gan apgūta;atkarīga no hormoniem pareizai attīstībai;C;A;FALSE
20. Kura no tālāk minētajiem biomiem augsnēs ir visaugstākais barības vielu izskalošanās un cikla ātrums?;Tropiskais lietus mežs;Tundra;Taiga;Tuksnesis;A;A;TRUE
21. Kurš no tālāk minētajiem vislabāk izskaidro, kāpēc enzīmi efektīvi veicina ķīmiskās reakcijas?;Tie paaugstina reakcijas maisījuma temperatūru, tādējādi paātrinot reaģentu pārvēršanu produktos.;Tie maina reakcijas līdzsvara konstanti (K_eq), lai vairāk reaģenta varētu pārvērsties produktā.;Tie palielina ķīmiskās reakcijas maksimālo ātrumu (V_max).;Tie pazemina aktivācijas enerģiju, tādējādi paātrinot reaģentu pārvēršanu produktos.;D;D;TRUE
22. Populācijas pieauguma laikā brīdi, kad dzimstības un mirstības rādītāji ir vienādi, sauc par;populācijas krahu;populācijas eksploziju;nulles populācijas pieaugumu;eksponenciālu pieaugumu.;C;C;TRUE
23. Sikspārņa un tauriņa spārni ir;homologas struktūras;analogas struktūras;stiģiālas struktūras;atšķirīgas pēc formas un funkcijas;B;B;TRUE
24. Šūnu tips, kas veido divdīgļlapju stublāja centrā esošo serdes audu, ir;Parenhīma;Sklerenhīma;asinsvadu kambijs;asinsvadu saišķis;A;A;TRUE
25. Mobilie DNS reģioni, kas spēj ievietoties esošajā genomā, ir;Prioni;Cistroni;Introni;Transpozoni;D;D;TRUE
26. Process, kurā pionieru sugas kolonizē kailu substrātu, piemēram, klinti, smiltis vai ledāja morēnu, ir pazīstams kā –;Dēdēšana;stabilizējoša sukcesija;sekundārā sukcesija;primārā sukcesija.;D;D;TRUE
27. Perējuma parazīti, piemēram, dzeguze, veiksmīgi apmāna citas putnu sugas, lai tās audzinātu savus mazuļus, izmantojot saimniekputnu instinktīvo reakciju uz skaļajiem ubagošanas signāliem, ko rada mazulis viņu ligzdā. Gēni, kas ļauj saimniekputnu sugai tikt piemānītai, lai tā audzinātu dzeguzes mazuļus, kaitējot viņu pašu pēcnācējiem, visticamāk, paliek populācijas gēnu fondā, jo;"vidēji saimniekputnu reakcija ļauj tiem efektīvi audzināt savus mazuļus, barojot tikai tos, kas norāda, ka ir izsalkuši;";"piemānītā putna maksimālā piemērotība netiek apdraudēta, ja putns audzina citas sugas iebrucēju;";"vidēji maz enerģijas tiek patērēts, lai audzinātu mazuli, neatkarīgi no tā, vai tas ir iebrucējs vai savējais;";dzeguzes maksimālā piemērotība tad samazinātos.;A;A;TRUE
1. Kura no tālāk minētajām krūts vēža noteikšanas metodēm ietver starojuma iedarbību?;Adatas aspirācija;Mamogrāfija;Mastektomija;Lumpektomija;B;B;TRUE
2. Ķermeņa zonas, kas, pieskaroties, ir seksuāli uzbudinošas:;atšķiras no cilvēka uz cilvēku,;atšķiras sievietēm atkarībā no menstruālā cikla fāzēm,;galvenokārt atrodas ķermeņa apakšdaļā,;visi iepriekš minētie;D;D;TRUE
3. Kurš no tālāk minētajiem apgalvojumiem attiecas uz gonoreju?;var ārstēt ar antibiotikām,;ir augsts inficēšanās risks ar vienreizēju iedarbību,;ir asimptomātiska (bez simptomiem) tikai nelielai daļai inficēto,;infekcijas aprobežojas ar dzimumorgānu apvidiem;A;A;TRUE
4. Tu esi homoseksuāls vīrietis: Vakar vakarā tevi kārdināja iekārdinošais, tumšādainais Žaks (brāļu strīdu karalis) pievienoties viņam vietējā piena bārā uz garu, vēsu piena glāzi. Tu arī īsi apsvēri iespēju gatavoties šim testam, bet Žaks uzvarēja. Freida izpratnē, kurš no tālāk minētajiem bija dominējošais?;id,;ego,;superego,;Edipa komplekss.;A;A;TRUE
5. Sociobiologi uzskata, ka ir vairāk vīriešu nekā sieviešu ar parafīlijām, jo:;parafīlijas garantē sugas izdzīvošanu,;evolūcijas atlase ir veicinājusi tādu vīriešu attīstību, kuri reaģē uz jauniem seksuāliem stimuliem,;kreisās/labās smadzeņu puslodes atšķirības starp dzimumiem,;vīriešu smadzenes ir labāk attīstītas nekā sieviešu smadzenes.;B;B;TRUE
6. Saskaņā ar Sprehera, Bārbija un Švarca (1995) pētījumu, sievietēm bija lielāka iespējamība nekā vīriešiem, ka pēc pirmā dzimumakta bija ______.;jutās priecīgas,;juta bailes,;izjuta vainas apziņu,;izjuta nožēlu.;C;C;TRUE
7. Ar ko ir saistīta kokaīna lietošana grūtniecības laikā?;paaugstināts maza dzimšanas svara risks mazuļi,;vājāka augšana un zemāks intelekts,;mazāks galvas apkārtmērs,;viss iepriekš minētais;D;D;TRUE
8. Džo izmisīgi vēlas satuvināties ar Helēnu. Šķiet, ka Helēnu atbaida Džo izmisīgie tuvinieki. Tas ir tipiski Džo attiecībām ar sievietēm. Saskaņā ar pieķeršanās teoriju Džo vislabāk varētu raksturot kā:;Drošs mīlnieks,;izvairīgs mīlnieks,;nemierīgs-ambivalents mīlnieks,;kaislīgs mīlnieks.;C;C;TRUE
9. Brūss ir homoseksuāls vīrietis. Viņa draugs Čaks ir heteroseksuāls vīrietis. Ja mēs būtu varējuši novērot Brūsu un Čaku kā bērnus, mēs, iespējams, būtu sagaidījuši, ko no tālāk minētā?;Brūss, visticamāk, piedalījās vairāk sievietēm raksturīgās rotaļās nekā Čaks.;Brūss, visticamāk, piedalījās vairāk vīriešiem raksturīgās rotaļās nekā Čaks.;Brūss un Čaks, visticamāk, piedalījās vairāk vīriešiem raksturīgās rotaļās nekā sievietēm raksturīgās rotaļās.;Brūsa tēvam bija lielāka iespējamība, ka viņam būs homoseksuālas tieksmes nekā Čaka tēvam.;A;A;TRUE
10. Jūdaisms uzskata seksualitāti par;pēc būtības ļaunu,;Dieva pēcdomu, un tā ir kļuvusi par novirzi;Dieva dāvanu;galvenokārt bioloģisku funkciju.;C;C;TRUE
11. Freids teica, ka dzimumloceklis pirmo reizi kļūst par galveno baudas meklēšanas objektu:;dzimšanas brīdī,;aptuveni 1 gada vecumā,;vecumā no 3 līdz 6 gadiem,;pubertātes laika.;C;C;TRUE
12. Kas padara attiecības ilgstošas, saskaņā ar Šternbergu?;intimitāte,;apņemšanās,;lēmums,;kaislība.;B;B;TRUE
13. Kurā reliģijā daži cilvēki ieņem nostāju, ka aborts ir slepkavība?;Pareizticīgie ebreji,;fundamentālistu protestanti,;austrumu pareizticīgie kristieši,;visi iepriekš minētie.;D;D;TRUE
"14. ""Mūku un mūķeņu ordeņi"" gan austrumu reliģijās, gan kristietībā, kas atbalsta celibātu, jaunavību un nabadzību, ievēro šādu ētikas sistēmu:";legalisms,;askētisms,;situacionisms,;hedonisms,;D;B;TRUE
15. Saimons Levejs pētīja heteroseksuāļu un homoseksuāļu smadzenes. Viņš atklāja atšķirības:;šo divu grupu garozas aktivitātē;šo divu grupu kopējā smadzeņu svarā;šo divu grupu hipotalāma šūnu struktūrā;asins tilpumā un cukuru metabolismā šo divu grupu smadzenēs;C;C;TRUE
"16. Kura no tālāk minētajām teorijām izmanto tādus terminus kā ""modelēšana"" un ""imitācija"", lai izskaidrotu erotikas iedarbības ietekmi uz cilvēka uzvedību?";sociobioloģijā,;psihoanalītiskā teorijā,;scenāriju teorijā,;sociālās mācīšanās teorijā;D;D;TRUE
"17. ""_____ vīrieši vidēji sāk iesaistīties dzimumaktā aptuveni divus gadus vēlāk nekā ______ vīrieši”.";"Meksikas amerikāņi un baltie;";"afroamerikāņi, Meksikas amerikāņi;";"afroamerikāņi un baltie, Afroamerikāņi;";"baltie un latīņamerikāņi, Baltie;";A;A;TRUE
18. Zinātniskajā aprindā sieviešu spēju sasniegt vairākus orgasmus sākotnēji atklāja:;Kinsijs,;Freids,;Masters un Džonsons,;Kaplans;A;C;TRUE
19. Kuras no tālāk minētajām īpašībām parasti atbilst randiņa izvarošanai?;pārmērīga spēka pielietošana,;iepriekšēja plānošana,;seksuāli motivēta,;ietver ieroča izmantošanu.;C;C;TRUE
20. Saskaņā ar Džona Manija teikto, _______ attiecas uz personas privāto iekšējo vīrišķības vai sievišķības sajūtu.;Dzimumu identitāte,;Seksuālā nomenklatūra,;Dzimumu shēma,;Intrapsihiskā seksuālā orientācija.;A;A;TRUE
21. Vidējais vīriešu dzimumorgānu izmērs ir aptuveni;4 collas;5 collas;7 collas;1 pēda;B;B;TRUE
22. Cilvēki, kuri nevar sasniegt orgasmu, nepieskaroties sievietes apavai, noteikti tiktu uzskatīti par seksuāli patoloģiskiem vai novirzītiem pēc kuras no tālāk minētajām definīcijām?;psiholoģiskā,;socioloģiskā,;statistiskā,;B un C.;D;D;TRUE
23. Ja sieviete vai vīrietis dzimumakta laikā atkārtoti izjūt sāpes, viņa, iespējams, vēlēsies dzimumaktu reti vai ne vienmēr. Šādā situācijā ___________, visticamāk, klasificētu sāpes kā sodu.;Zigmunds Freids,;Džons Manijs,;B. F. Skiners,;Haveloks Eliss;C;C;TRUE
"24. ""Kāds ir gadījums, kad tautas teiciens ""pretstati pievelkas"" (t. i., atšķirīgas attieksmes parasti izraisa simpātiju), ņemot vērā pašreizējos pētījumus?";Tas nešķiet patiess.;Šķiet, ka tas attiecas uz heteroseksuāļiem, bet ne uz homoseksuāļiem.;Šķiet, ka tas attiecas uz homoseksuāļiem, bet ne uz heteroseksuāļiem.;Šķiet, ka tas attiecas uz sievietēm, bet ne uz vīriešiem.;A;A;TRUE
25. Olšūnu var apaugļot līdz aptuveni ____ pēc ovulācijas.;6 stundas,;24 stundas,;72 stundas,;1 nedēļa.;B;C;FALSE
26. Pēc olšūnas atbrīvošanās folikuls luteinizējošā hormona stimulācijas ietekmē pārvēršas par dziedzeru šūnu masu, ko sauc par ______.;corpus cavernosum,;corpus luteum,;corpus callosum,;corpus glandula.;B;C;FALSE
27. Kā parasti ārstē endometriozi?;antiprosaglandīnu līdzekļi,;prostaglandīnu līdzekļi,;hormoni,;aspirins.;C;C;TRUE
28. Pirms Mastersa un Džonsona pētījumiem tika uzskatīts, ka maksts lubrikācija bija saistīts ar sekrētiem –;Kaupera dziedzeris,;prostatas dziedzeris,;Bartolīna dziedzeri,;virsnieru dziedzeris;C;C;TRUE
29. Bafija un Vilova apsprieda savas seksuālās fantāzijas. Bafija atklāja, ka viņa dažreiz fantazē par seksu ar citām sievietēm, lai gan parasti viņu piesaista vīrieši. Viņa fantazē arī par grupveida seksu. Kuru no tālāk minētajiem apgalvojumiem var secināt no Bafijas fantāzijām?;Bafijas fantāzijas liecina, ka viņai jābūt latentai homoseksuālai vai biseksuālai.;Bafijas fantāzijas liecina par parafīliju.;Bafijas fantāzijas liecina, ka viņa nesaņem pietiekami daudz seksa, lai būtu apmierināta.;Bafijas fantāzijas ir diezgan tipiskas un maz pastāsta par viņas seksuālajām tieksmēm.;D;D;TRUE
30. Vide spermas pārejai ir vislabvēlīgākā tieši pirms –;Pirms ovulācijas,;proliferācijas,;ovulācijas,;menstruāciju laika.;C;C;TRUE
1. Kura valsts parasti īsteno jurisdikciju attiecībā uz noziegumiem, kas izdarīti uz kuģiem?;Piekrastes valsts,;Karoga valsts,;Visām valstīm ir šāda jurisdikcija,;Starptautiskais jūras tiesību tribunals.;B;B;TRUE
2. Ko nozīmē tiesiskums?;Tiesiskums attiecas uz iespēju attiecīgajiem tiesību īpašniekiem īstenot konkrētas tiesības,;Tiesiskums attiecas uz konkrētu tiesību taisnīgu raksturu vai cēloni,;Tiesiskums attiecas uz tiesu novērtējumu par to, vai konkrētu tiesību neīstenošana atbilst taisnīguma principiem,;Tiesiskums attiecas uz valsts pienākumu īstenot konkrētas tiesības.;A;A;TRUE
3. Kā atbildība aizsargāt (R2P) atšķiras no humānās iejaukšanās?;R2P būtībā ir tas pats, kas humānā iejaukšanās,;R2P prasa palīdzības lūgumu no nelaimē nonākušās valsts,;R2P ir mazāk patvaļīga, jo tai ir nepieciešama zināma ANO Drošības padomes iesaistīšanās, un tās galvenais mērķis ir novērst humanitāro krīzi,;R2P vienmēr ietver bruņotu spēku, savukārt humānā iejaukšanās to nedara.;C;C;TRUE
"4. Kas ir ""Lotosa princips""?";"Tā sauktais Lotosa princips ir tāds, ka ""valstu neatkarības ierobežojumi tāpēc nevar tikt prezumēti"" vai, kā tas ir interpretēts, ""viss, kas nav aizliegts, ir atļauts starptautiskajās tiesībās"".";Tā sauktais Lotosa princips ir tāds, ka valstis var brīvi izvēlēties tiesu, kurā tās iesniegs savus strīdus.;Tā sauktais Lotosa princips ir tāds, ka valstīm nav aizliegts īstenot savu izpildes jurisdikciju atklātā jūrā.;Tā sauktais Lotosa princips ir tāds, ka paražu tiesības izriet no valstu prakses un opinio juris apvienojuma.;A;A;TRUE
5. Kurš no šiem apgalvojumiem vislabāk raksturo Apvienotās Karalistes Konstitūciju?;Apvienotās Karalistes Konstitūcijas vienīgais varas avots ir suverēna vara.;Apvienotās Karalistes Konstitūcija piešķir tiesu varai pilnvaras atcelt parlamenta aktus.;Apvienotās Karalistes Konstitūcija nav kodificēta un ir atrodama vairākos avotos.;Apvienotās Karalistes Konstitūcija ir balstīta uz Tiesību bilu.;C;C;TRUE
6. Kāds ir strīdu miermīlīgas izšķiršanas pienākums?;Tas ir rezultāta pienākums, tas ir, valstīm ir stingrs pienākums pēc iespējas ātrāk atrisināt savus strīdus.;Tas ir pienākums... rīcības, t. i., valstīm ir pienākums mēģināt atrisināt savus strīdus miermīlīgā ceļā.;Tas nenozīmē pienākumu atrisināt savus strīdus. Tā ir starptautisko tiesību imperatīva norma, un visām valstīm ir juridiskas intereses aizsargāt tās piemērošanu jebkurā konkrētā strīdā.;Tas ir pienākums, kas attiecas tikai uz starptautiskajām tiesām un tribunāliem.;B;B;TRUE
7. Kurš no šiem apgalvojumiem ir nepatiess?;14. protokols mainīja komiteju, kas izskata pieņemamības lietas, no trīs tiesnešiem uz viena tiesneša sastāvu.;14. protokols pievienoja jaunu pieņemamības kritēriju.;14. protokols likvidēja Cilvēktiesību komisiju.;14. protokols pagarināja Eiropas Cilvēktiesību tiesas pilnvaru termiņu.;C;C;TRUE
"8. Kura ir ""klints"" saskaņā ar ANO Jūras tiesību konvenciju (UNCLOS)?";Klintis ir salas, kuru platība ir mazāka par 10 kvadrātjūdzēm.;Klintis ir salas, kurām nav jūras zonas.;Klintis ir salas, kurās nevar uzturēties cilvēki vai pastāvēt sava ekonomiskā dzīve, un saskaņā ar 121. panta (3) daļu tām nav ekskluzīvas ekonomiskās zonas vai kontinentālās šelfs.;Akmeņi ir mazās salas, kas var uzturēt cilvēku mājokli.;C;C;TRUE
9. Ko nozīmē starptautiska juridiska persona?;Tas nozīmē, ka tikai valstis tiek uzskatītas par starptautisko tiesību subjektiem;Tas nozīmē tiesības un pienākumus saskaņā ar starptautiskajām tiesībām un spēju tos īstenot, izmantojot vai pret attiecīgo dalībnieku;Tas nozīmē, ka subjekts var apstrīdēt valstu pilnvaras;Tas ir termins, kas paredzēts, lai apzīmētu juridiskas, nevis fiziskas personas saskaņā ar starptautiskajām tiesībām.;B;B;TRUE
10. Kurš no tālāk minētajiem ir uz līgumiem balstīts cilvēktiesību mehānisms?;ANO Cilvēktiesību komiteja,;ANO Cilvēktiesību padome,;ANO Vispārējais periodiskais pārskats,;ANO īpašie mandāti.;A;A;TRUE
11. ANO Vīnes deklarācija 1993. gadā paziņoja, ka;Trešās paaudzes tiesības ir primāri svarīgas,;Pilsoniskās un politiskās tiesības ir pamattiesības,;Visu veidu tiesības ir nedalāmas,;savstarpēji saistītas un savstarpēji atkarīgas,;C;C;TRUE
12. Kāds ir galvenais imunitātes avots attiecībā uz starptautiskajām organizācijām (SO)?;SO galvenais imunitātes avots ir ANO Statūti,;SO galvenie imunitātes avoti ir galvenās mītnes līgumi un daudzpusēji līgumi, kas nodrošina īpašu imunitāti,;SO galvenais imunitātes avots ir paražu tiesības likums,;Starptautisko organizāciju galvenais imunitātes avots ir Vīnes konvencija par diplomātisko imunitāti.;B;B;TRUE
13. Vai pastāv kāda hierarhija vai prioritāte starp dažādām strīdu miermīlīgas izšķiršanas metodēm?;Jā, pirms ķerties pie juridiskām metodēm, ir jāizsmeļ visas politiskās metodes (piemēram, sarunas, mediācija, izmeklēšana, samierināšana).;Juridiskās metodes ir prioritāras pār politiskajām metodēm, jo ​​tās ir saistošas ​​pusēm.;Starp šīm metodēm nav hierarhijas, un izvēle pieder strīdā iesaistītajām valstīm.;Neitrālas trešās puses ziņā ir izlemt, kura metode būs prioritāra salīdzinājumā ar otru.;C;C;TRUE
